FREQUENCY,MAGNITUDE,PHASE,
7.079458e+03,9.999821e-01,5.978980e-03,
7.943282e+03,9.999858e-01,5.328785e-03,
8.912509e+03,9.999887e-01,4.749294e-03,
1.000000e+04,9.999910e-01,4.232819e-03,
1.122018e+04,9.999929e-01,3.772508e-03,
1.258925e+04,9.999943e-01,3.362255e-03,
1.412538e+04,9.999955e-01,2.996615e-03,
1.584893e+04,9.999964e-01,2.670738e-03,
1.778279e+04,9.999972e-01,2.380299e-03,
1.995262e+04,9.999977e-01,2.121444e-03,
2.238721e+04,9.999982e-01,1.890740e-03,
2.511886e+04,9.999986e-01,1.685124e-03,
2.818383e+04,9.999989e-01,1.501869e-03,
3.162278e+04,9.999991e-01,1.338542e-03,
3.548134e+04,9.999993e-01,1.192977e-03,
3.981072e+04,9.999994e-01,1.063242e-03,
4.466836e+04,9.999996e-01,9.476155e-04,
5.011872e+04,9.999996e-01,8.445633e-04,
5.623413e+04,9.999997e-01,7.527178e-04,
6.309573e+04,9.999998e-01,6.708605e-04,
7.079458e+04,9.999998e-01,5.979051e-04,
7.943282e+04,9.999999e-01,5.328835e-04,
8.912509e+04,9.999999e-01,4.749329e-04,
1.000000e+05,9.999999e-01,4.232844e-04,
1.122018e+05,9.999999e-01,3.772526e-04,
1.258925e+05,9.999999e-01,3.362268e-04,
1.412538e+05,1.000000e+00,2.996624e-04,
1.584893e+05,1.000000e+00,2.670744e-04,
1.778279e+05,1.000000e+00,2.380303e-04,
1.995262e+05,1.000000e+00,2.121447e-04,
2.238721e+05,1.000000e+00,1.890742e-04,
2.511886e+05,1.000000e+00,1.685126e-04,
2.818383e+05,1.000000e+00,1.501870e-04,
3.162278e+05,1.000000e+00,1.338543e-04,
3.548134e+05,1.000000e+00,1.192978e-04,
3.981072e+05,1.000000e+00,1.063242e-04,
4.466836e+05,1.000000e+00,9.476158e-05,
5.011872e+05,1.000000e+00,8.445635e-05,
5.623413e+05,1.000000e+00,7.527180e-05,
6.309573e+05,1.000000e+00,6.708606e-05,
7.079458e+05,1.000000e+00,5.979051e-05,
7.943282e+05,1.000000e+00,5.328835e-05,
8.912509e+05,1.000000e+00,4.749329e-05,
1.000000e+06,1.000000e+00,4.232844e-05,
